,Spectral,Exponential,Series,Terms,Series-Spectral,Series-Exponential
0,0.0812625732421875,0.002752717733383179,4.574489593505859e-05,1,3.1641774755403027,3.1641774755402996
1,0.0812625732421875,0.002752717733383179,9.72287654876709e-05,2,10.058753659086017,10.058753659086005
2,0.0812625732421875,0.002752717733383179,0.00012323474884033203,3,22.093730443246326,22.0937304432463
3,0.0812625732421875,0.002752717733383179,0.0001770317554473877,4,38.236586757055456,38.236586757055406
4,0.0812625732421875,0.002752717733383179,0.00022587466239929198,5,55.446381510862565,55.446381510862494
5,0.0812625732421875,0.002752717733383179,0.00027471160888671873,6,70.85870141102062,70.85870141102055
6,0.0812625732421875,0.002752717733383179,0.0003219943046569824,7,82.65465987660254,82.65465987660244
7,0.0812625732421875,0.002752717733383179,0.000372016429901123,8,90.57805716481468,90.57805716481457
8,0.0812625732421875,0.002752717733383179,0.0004145262241363525,9,95.30288806196712,95.30288806196701
9,0.0812625732421875,0.002752717733383179,0.00046177959442138673,10,97.84159244389684,97.84159244389672
10,0.0812625732421875,0.002752717733383179,0.0005247249603271485,11,99.08099323615488,99.08099323615475
11,0.0812625732421875,0.002752717733383179,0.0005808770656585693,12,99.6359068273016,99.63590682730148
12,0.0812625732421875,0.002752717733383179,0.0006227161884307861,13,99.86519313040031,99.8651931304002
13,0.0812625732421875,0.002752717733383179,0.0006749038696289062,14,99.95318209134322,99.95318209134311
14,0.0812625732421875,0.002752717733383179,0.0007731661796569824,15,99.98469389160127,99.98469389160115
15,0.0812625732421875,0.002752717733383179,0.0007803752422332763,16,99.99527480605266,99.99527480605255
16,0.0812625732421875,0.002752717733383179,0.0008252248764038086,17,99.99861849949559,99.99861849949548
17,0.0812625732421875,0.002752717733383179,0.0009007523059844971,18,99.99961647557555,99.99961647557544
18,0.0812625732421875,0.002752717733383179,0.0009071338176727295,19,99.99989865483982,99.9998986548397
19,0.0812625732421875,0.002752717733383179,0.0009524979591369628,20,99.9999744531566,99.99997445315647
